From,To,α,w
I_0,H3_12,1.0,1.468
I_2,H3_12,1.0,-1.8302
I_1,H3_19,1.0,2.3094
I_2,H3_19,0.9999,0.2899
H3_12,H4_0,1.0,-1.026
H3_19,H4_0,0.983,-3.2671
I_1,H4_0,1.0,-1.5614
I_2,H4_0,0.9999,0.4027
H3_19,H4_4,1.0,-0.7282
I_2,H4_4,1.0,-1.1967
H3_12,H4_5,0.9725,-2.268
I_0,H4_5,1.0,-3.3296
I_1,H4_5,1.0,-1.6363
I_2,H4_5,1.0,1.8745
I_0,H4_6,1.0,1.6329
I_1,H4_6,1.0,-1.2794
I_2,H4_6,1.0,1.233
I_0,H4_12,1.0,-3.3489
I_1,H4_12,1.0,1.8146
I_2,H4_12,1.0,1.7971
H3_19,H4_13,0.9378,-0.0912
I_1,H4_13,1.0,-1.4774
I_2,H4_13,1.0,1.4957
H3_19,H4_18,0.9528,-2.8939
I_0,H4_18,1.0,-2.5796
I_1,H4_18,1.0,-1.6026
I_2,H4_18,1.0,-1.7181
I_1,H4_19,1.0,1.0136
H4_0,Output_0,1.0,-0.4177
H4_4,Output_0,1.0,0.6292
H4_5,Output_0,0.9999,-0.5551
H4_6,Output_0,1.0,-0.639
H4_12,Output_0,1.0,0.5729
H4_13,Output_0,1.0,-0.457
H4_18,Output_0,1.0,0.5478
H4_19,Output_0,1.0,0.7402
